timestamp,cpu_usage,assigned_mem
1242900,5699300.235356005,1933024.0
1243200,5723045.291739736,1932940.0
1243500,5984602.984698202,1928080.0
1243800,5863984.11839524,1930044.0
1244100,5800993.490302698,1927636.0
1244400,5843800.996668645,1926732.0
1244700,5806224.401049934,1927474.0
1245000,5730732.334013747,1928894.0
1245300,5849327.451259175,1929750.0
1245600,5774038.410070642,1928214.0
1245900,5826076.017542675,1928740.0
1246200,5847395.075703917,1927484.0
1246500,5814288.718539456,1927840.0
1246800,5818820.86054687,1931028.0
1247100,6081531.010343221,1934426.0
1247400,5953342.118696256,1936808.0
1247700,5958065.578006266,1936828.0
1248000,5999265.820590647,1935364.0
1248300,5948597.928058825,1934770.0
1248600,5912512.608045168,1936344.0
1248900,6019948.593858062,1938818.0
1249200,5930742.38343717,1939160.0
1249500,5899472.305778001,1935620.0
1249800,5934711.615238333,1932238.0
1250100,5883817.406668784,1932366.0
1250400,5877685.876633507,1932768.0
1250700,6182648.267116567,1934278.0
1251000,6169029.716655782,1937162.0
1251300,6101947.55527382,1942006.0
1251600,6099831.377448456,1941928.0
1251900,6075786.881501115,1941158.0
1252200,6044093.991251843,1942528.0
1252500,6116885.369638203,1943380.0
1252800,6038190.23903284,1945468.0
1253100,6066854.6331373425,1947278.0
1253400,6159893.775688291,1948956.0
1253700,6118820.3264689315,1952962.0
1254000,6033196.491086629,1957178.0
1254300,6275926.401498865,1959532.0
1254600,6178131.687355405,1958550.0
1254900,6196790.165464122,1956468.0
1255200,6274836.409826576,1957856.0
1255500,6297377.790657447,1957738.0
1255800,6203560.89629918,1956434.0
1256100,6315262.379523224,1954506.0
1256400,6192128.154013809,1954270.0
1256700,6196170.115073377,1953354.0
1257000,6285493.266031339,1951464.0
1257300,6217428.303723796,1949346.0
1257600,6125091.554698042,1954214.0
1257900,6539113.8921737615,1960066.0
1258200,6399313.6596688125,1962870.0
1258500,6439118.544848752,1966228.0
1258800,6459795.613137287,1968736.0
1259100,6401704.87937493,1968956.0
1259400,6302631.050376445,1971484.0
1259700,6403929.7917213,1973932.0
1260000,6242846.117817864,1974234.0
1260300,6230425.243521486,1976950.0
1260600,6285906.651481587,1975036.0
1260900,6302544.312931126,1974046.0
1261200,6254278.195128821,1970598.0
1261500,6555304.263926875,1972260.0
1261800,6524080.001954125,1976768.0
1262100,6489944.196166494,1980038.0
1262400,6534672.54453009,1982350.0
1262700,6531524.536269741,1983136.0
1263000,6548079.255141515,1983124.0
1263300,6563906.062156671,1981228.0
1263600,6502160.349210241,1982006.0
1263900,6324783.313886786,1981508.0
1264200,6320188.664218446,1975614.0
1264500,6288966.59933818,1976078.0
1264800,6408879.5402394915,1976822.0
1265100,6654381.546286071,1978134.0
1265400,6564183.786798734,1981046.0
1265700,6355479.799314776,1982882.0
1266000,6354610.027267863,1983454.0
1266300,6394719.8591061365,1984430.0
1266600,6327707.027226376,1982502.0
1266900,6429368.643736857,1984476.0
1267200,6388506.684074807,1984128.0
1267500,6510275.068724893,1983756.0
1267800,6539678.352313302,1982598.0
1268100,6489779.734155994,1982856.0
1268400,6429489.822358609,1983334.0
1268700,6542096.931580101,1983422.0
1269000,6413344.099805771,1983216.0
1269300,6399063.959519109,1981980.0
1269600,6402532.397717186,1981652.0
1269900,6411671.105727527,1983478.0
1270200,6450203.927598839,1985262.0
1270500,6479961.1650404325,1982544.0
1270800,6375680.617359691,1978388.0
1271100,6350137.126531726,1979420.0
1271400,6603856.053711907,1977324.0
1271700,6406317.745508031,1976366.0
1272000,6311145.6172106555,1976086.0
1272300,6523769.569403494,1977196.0
1272600,6430640.848029363,1978402.0
1272900,6369589.249506577,1979508.0
1273200,6442120.249656549,1979774.0
1273500,6430877.2986442,1979168.0
1273800,6516355.61229652,1977108.0
1274100,6506612.0148802055,1979520.0
1274400,6451501.877029623,1983202.0
1274700,6400030.301584981,1984994.0
1275000,6382442.6445026705,1985324.0
1275300,6322955.816822741,1985246.0
1275600,6325397.3034116905,1983306.0
1275900,6746500.906428219,1982244.0
1276200,6615823.869357747,1985764.0
1276500,6614624.80767738,1986740.0
1276800,6716740.486478602,1985542.0
1277100,6810786.000257385,1986972.0
1277400,6767005.673195201,1985828.0
1277700,6829065.244759529,1982852.0
1278000,6839931.168491552,1981328.0
1278300,6771168.119223162,1980636.0
1278600,6800897.597395893,1983818.0
1278900,6758795.812299442,1983682.0
1279200,6721932.583111371,1985402.0
1279500,6875034.808102849,1988478.0
1279800,6753197.790660476,1989452.0
1280100,6698354.151702221,1988398.0
1280400,6706857.2667792905,1986700.0
1280700,6701397.167260349,1988414.0
1281000,6638080.023524206,1988410.0
1281300,6707501.783077648,1989698.0
1281600,6607249.3075304255,1988844.0
1281900,6584765.8690949865,1988372.0
1282200,6644885.8242256455,1988396.0
1282500,6612093.698987459,1991052.0
1282800,6500814.789608072,1989882.0
1283100,6623864.039678369,1986728.0
1283400,6463209.368770181,1991580.0
1283700,6374020.508359621,1989082.0
1284000,6456917.056985248,1987986.0
1284300,6413590.058293438,1986476.0
1284600,6382768.92912093,1985924.0
1284900,6432193.749914113,1984166.0
1285200,6480401.762979847,1985380.0
1285500,6527175.568210308,1985088.0
1285800,6544234.31310415,1984864.0
1286100,6464342.3378751585,1984320.0
1286400,6461177.710900764,1986804.0
1286700,6582751.006084413,1987184.0
1287000,6489903.948689037,1987394.0
1287300,6432354.239878492,1985380.0
1287600,6457322.470491682,1986536.0
1287900,6586795.00380267,1986600.0
1288200,6477870.879344888,1988624.0
1288500,6481123.887818442,1982592.0
1288800,6433428.497850906,1982290.0
1289100,6463408.8619768005,1982454.0
1289400,6437780.813927698,1982936.0
1289700,6320513.323744797,1977734.0
1290000,6249647.531532496,1976040.0
1290300,6533651.878219791,1977332.0
1290600,6423091.713496655,1978270.0
1290900,6356141.427576716,1980576.0
1291200,6357015.022568748,1980740.0
1291500,6377746.189241238,1979478.0
1291800,6343341.649910433,1980652.0
1292100,6429937.103118268,1980016.0
1292400,6344172.442830409,1979598.0
1292700,6348583.383536215,1980758.0
1293000,6339152.496472643,1982570.0
1293300,6248630.116235339,1981398.0
1293600,6264962.096233064,1980442.0
1293900,6451619.285332059,1981124.0
1294200,6343235.143394841,1981388.0
1294500,6294065.391036612,1979520.0
1294800,6321620.061677319,1981174.0
1295100,6322456.429079582,1980166.0
1295400,6295049.968447069,1977894.0
1295700,6428723.675313929,1978218.0
1296000,6431193.410861018,1977746.0
1296300,6448250.803156873,1978378.0
1296600,6475239.033555384,1976882.0
1296900,6405380.732089477,1976694.0
1297200,6274057.140393631,1980414.0
1297500,6682492.079275268,1982974.0
1297800,6551792.458636395,1984020.0
1298100,6451049.614064374,1981508.0
1298400,6514527.325293461,1980670.0
1298700,6482012.940378731,1977768.0
1299000,6428095.303334319,1978094.0
1299300,6469307.216757707,1979590.0
