cpu_usage,assigned_mem
6438060.793815023,1963884.0
6439418.823267549,1966742.0
6444775.491973546,1967014.0
6510061.2122404985,1967252.0
6454881.725068345,1967686.0
6326854.856060061,1968958.0
6397329.788798817,1970426.0
6245772.454349166,1962950.0
6246547.097769556,1956178.0
6445942.648584978,1952674.0
6362727.406704906,1959706.0
6274563.859605788,1957440.0
6367967.436899179,1949236.0
6257476.83270152,1947418.0
6198120.304778956,1944316.0
6288720.799388319,1930444.0
6155565.003504284,1929928.0
6314189.006622689,1933066.0
6367874.095822051,1937146.0
6193641.664255327,1944044.0
6179297.72063985,1944608.0
6277242.68347457,1950286.0
6171246.368079485,1952486.0
6101663.9570053695,1952476.0
6122496.621190992,1956568.0
6149639.81320957,1955490.0
5997912.185491208,1955456.0
6077824.2382374685,1955884.0
6237660.214916231,1961898.0
6301633.971809847,1964236.0
6140936.65638326,1966456.0
5978671.8839217955,1970274.0
5937067.10216169,1973206.0
6216275.750101394,1974700.0
6050112.335809141,1969692.0
6001751.176608021,1971902.0
6106709.122062645,1970682.0
6046846.414972863,1971428.0
6108579.581267294,1973768.0
6085032.144459158,1971916.0
6011628.182264526,1966546.0
5987608.247460629,1959296.0
5970334.2520168675,1955368.0
5936717.198849725,1952232.0
5925043.733059241,1954094.0
6091602.839234779,1959852.0
6000983.454178593,1965234.0
5890472.9283123715,1970326.0
5927389.062121004,1976492.0
5941283.2605128605,1975948.0
5839381.543872594,1975058.0
5973536.245401677,1976580.0
6006112.998434725,1976808.0
6033567.316673284,1976076.0
6030527.311617806,1976766.0
5941715.707940642,1979058.0
5939405.818066899,1980582.0
6231037.081844627,1984786.0
6126382.618849929,1987370.0
6184746.271577099,1986792.0
6257292.322420559,1986100.0
6256275.264921536,1980454.0
6104543.550042535,1980310.0
6051509.916934248,1983728.0
5896192.839136559,1987882.0
5977090.796475465,1990816.0
5967180.928110671,1992732.0
5900237.97700456,1992498.0
5846727.083164367,1991514.0
6088151.473578125,1995570.0
5972786.041230125,1996368.0
5980405.478227519,1992804.0
6037042.202120136,1992916.0
6076852.136402489,1989212.0
5999859.329481584,1987216.0
5987566.773756652,1985460.0
5892883.953846259,1983590.0
5930258.323593208,1981518.0
5882238.596134399,1980664.0
5861778.543734648,1975088.0
5796331.118065698,1974360.0
6020176.535142006,1978550.0
5908350.552603001,1980826.0
5851037.216553777,1977030.0
5971498.157000648,1977716.0
5938222.149145352,1977314.0
5865395.051183393,1972486.0
5929875.570462984,1971378.0
5796858.891105595,1968548.0
5799292.47579542,1968678.0
5795612.183875839,1966082.0
5769567.631568269,1964650.0
5687670.883686861,1966536.0
5922745.991052996,1968204.0
5841555.798741338,1970204.0
5707136.564815591,1975394.0
5755119.206018697,1972742.0
5768565.464809265,1972160.0
5688402.226340889,1966796.0
5811841.913283713,1968796.0
5803724.18934047,1970738.0
5759835.591966762,1973312.0
5737107.78681025,1971924.0
5643265.308451335,1970134.0
5589306.438309606,1969248.0
5816531.928231947,1969890.0
5788406.670943138,1970980.0
5861887.549941651,1967450.0
5951825.694753494,1962210.0
5890196.411695158,1959288.0
5982331.854122758,1960126.0
6005984.911727414,1960114.0
5863794.824639524,1957752.0
5962939.818308205,1955640.0
5891956.0267467685,1952918.0
5866311.3674141,1953184.0
5882991.590807774,1953650.0
6058845.083034463,1957382.0
5854031.789798251,1961074.0
5706029.112304981,1959132.0
5665026.910537037,1957746.0
5679393.146985524,1953904.0
5663437.429104077,1953592.0
5787791.850967547,1953238.0
5732263.405232021,1954898.0
5590542.131703049,1955710.0
5579260.73859704,1954996.0
5529098.240001847,1954896.0
5440198.980483239,1954816.0
5678014.568026244,1957232.0
5626269.293487483,1960010.0
5550023.040393267,1959436.0
5636264.020184901,1956698.0
5576992.319167971,1951440.0
5529012.806935317,1950630.0
5584970.894071615,1951072.0
5529239.968473386,1949560.0
5519343.690079631,1946628.0
5496877.50110316,1944236.0
5412913.07221116,1941346.0
5330175.692275818,1940820.0
5552906.876507838,1940794.0
5438388.420445282,1940120.0
5393110.24643905,1939840.0
5432605.926446061,1940450.0
5450925.3205425115,1941572.0
5376628.065489883,1940188.0
5457200.208689524,1937602.0
5402408.468182626,1936332.0
5437402.217022456,1936852.0
5460532.226493108,1937074.0
5378550.292061078,1933592.0
5319552.826597436,1933216.0
5585787.740643027,1933134.0
5475798.180349324,1934772.0
5412767.770647523,1933450.0
5494719.17289859,1932388.0
5474234.201816764,1931814.0
5393997.114979489,1930538.0
5459815.369314414,1931794.0
5352412.2056357665,1931284.0
5392735.022325489,1931202.0
5451730.046308365,1930116.0
5345483.472793457,1934844.0
5401866.625193694,1941234.0
5678699.034536944,1944806.0
5462726.895366732,1944542.0
5493511.986429093,1940288.0
5572369.743609436,1937326.0
5517238.105013866,1934810.0
5391316.627543846,1932934.0
5441969.221427873,1930094.0
5334440.218239766,1928784.0
5514971.932840348,1927838.0
5505827.846243769,1930562.0
5320725.26516955,1932528.0
5340534.610708212,1935392.0
5501078.746506534,1938394.0
5419407.040087616,1940348.0
5445768.371419902,1940228.0
5456145.923981677,1939846.0
5518606.740558125,1938368.0
5461855.067261568,1937530.0
5570213.934460965,1938368.0
5569724.788233779,1938966.0
5579854.645911605,1941396.0
5519210.717118571,1940568.0
5485429.779708321,1938432.0
5447635.4304136485,1939400.0
5648309.4908622755,1941022.0
5501167.30879456,1943514.0
5523336.434265219,1946046.0
5584085.773079041,1947916.0
5571297.170864035,1948222.0
5537811.233928841,1947300.0
5681792.298476362,1946774.0
5605571.328401265,1945988.0
5574736.071412893,1949418.0
5687211.707661821,1950836.0
5674550.238276482,1951250.0
5673058.118873798,1950952.0
5837776.801580538,1954474.0
5613466.446220926,1956722.0
5520357.212349888,1954878.0
5687263.755764574,1953880.0
5750784.209083011,1954016.0
5592608.728625151,1955296.0
5694577.778302777,1955540.0
5607398.918223983,1954040.0
5639948.573250133,1953282.0
5615635.180989178,1954626.0
5578048.4477508105,1953878.0
5502771.312551908,1955560.0
5759553.841421815,1958752.0
5652967.226656848,1959436.0
5643461.469379168,1959912.0
5905033.303227043,1958896.0
5864150.826657654,1959570.0
5732162.55322078,1960756.0
5666680.212819876,1961440.0
5588248.038861163,1962604.0
5604291.704964444,1963000.0
5640775.631420824,1961806.0
5602572.629965327,1961000.0
5565475.588505675,1961740.0
5789210.2964249095,1962636.0
5716392.050108693,1963194.0
5672458.9500309015,1961276.0
5688419.841462622,1961154.0
5734165.98545494,1958812.0
5658781.646611737,1956714.0
5687366.915021224,1956398.0
5636540.943152519,1956684.0
5664314.564378227,1955796.0
5658534.08371709,1954944.0
5615354.984753326,1956054.0
5569607.176665683,1959068.0
5760995.394073873,1961964.0
5620808.513166034,1962376.0
5617199.141298366,1961756.0
5650392.845487761,1959858.0
5683475.173639014,1960352.0
5616796.304114858,1961522.0
5658066.487325028,1962174.0
5578673.893080151,1963126.0
5652681.521722267,1961690.0
5666159.187107198,1961098.0
5587522.970917047,1959924.0
5597664.855493511,1959784.0
5849446.941104112,1961484.0
5741432.687298043,1963676.0
5699326.850754712,1962328.0
5751810.237388399,1960018.0
5880197.361033217,1959306.0
5750865.017416165,1958662.0
5801098.732188608,1957064.0
5667527.729481232,1956758.0
5601767.383714239,1955738.0
5615734.173866188,1954892.0
5525267.479521147,1956372.0
5505591.884435925,1958280.0
5729694.808507639,1956622.0
5576258.384409004,1956652.0
5593766.48067804,1957088.0
5669452.767731598,1957328.0
5679543.733746588,1956892.0
5618843.534320948,1956106.0
5690898.14423702,1954374.0
5586017.867646241,1951676.0
5654689.082512177,1951880.0
5684016.595068768,1952682.0
5567688.68026961,1952972.0
5498785.1996243335,1953750.0
5740192.3240776835,1956956.0
5627347.764345945,1958570.0
5580433.877548675,1955910.0
5647724.391848707,1956224.0
5730107.08625505,1952362.0
5625687.865726745,1949328.0
5691334.901610197,1951572.0
5601989.5784985805,1952008.0
5585305.566512521,1952464.0
5593417.85326026,1952368.0
5564979.869382544,1952802.0
5528920.660964899,1953430.0
5732011.984610233,1955244.0
5645471.393104708,1954342.0
5578006.883903231,1956840.0
5637671.593535244,1956554.0
5658126.359607047,1954660.0
5587150.70608114,1950970.0
5682353.240640627,1950282.0
5595355.291436734,1950100.0
5567663.920998449,1950416.0
5617005.755529785,1950996.0
5625191.73032562,1951014.0
5616921.9978036685,1953004.0
5799962.8983715875,1955222.0
5675122.822206276,1956456.0
5612915.630057786,1955456.0
5635424.827892921,1954224.0
5656230.296016092,1955106.0
5614034.367671818,1955796.0
5721967.472745743,1956392.0
