cpu_usage,assigned_mem
5748607.525724557,1948940.0
5900315.509038138,1944178.0
5830332.862976665,1943600.0
5807164.142701689,1942050.0
5784873.422068955,1942452.0
5745538.278075333,1942604.0
5671750.157974208,1945492.0
5893549.560611788,1948260.0
5741137.255050734,1947672.0
5666774.664791904,1946976.0
5723750.646792958,1945390.0
5673848.325440288,1943062.0
5654898.445574429,1941156.0
5716824.771415434,1942902.0
5689605.9269991405,1941048.0
5678075.696301647,1940406.0
5739809.710838041,1941412.0
5625744.792362324,1942012.0
5597115.102204889,1943140.0
5833223.370752713,1945142.0
5733776.542397945,1951798.0
5724152.111333714,1955682.0
5822132.17899474,1956698.0
5794214.522773219,1960200.0
5739616.3081986075,1962608.0
5798449.51785288,1962568.0
5768954.885986537,1958056.0
5782014.059810713,1959066.0
5751676.269860341,1961224.0
5673696.622761503,1962578.0
5618976.915608447,1962756.0
5785135.8962545125,1959030.0
5768436.494140543,1961324.0
5736741.048807076,1963698.0
5732147.483421055,1963730.0
5704447.968902725,1963830.0
5649486.526349334,1963810.0
5779964.495110228,1961388.0
5702163.926503027,1959094.0
5722052.717404921,1956904.0
5761827.403503459,1959528.0
5697705.419329149,1962586.0
5702158.029096968,1963276.0
5983285.310537907,1964048.0
5934896.3569630375,1964884.0
5897589.790316114,1962658.0
5957825.520657035,1962572.0
6048633.061429183,1963334.0
5925677.594791547,1964234.0
6047287.897114412,1963168.0
5978867.530054079,1961678.0
5991682.538852126,1962782.0
5966940.558592285,1963318.0
5930407.747380202,1965074.0
5924846.1663509505,1968122.0
6227105.228321543,1970828.0
6126794.679712211,1972820.0
6104510.46605597,1975050.0
6109559.426303231,1976588.0
6219649.043395063,1978256.0
6255181.437979857,1980826.0
6350103.793370863,1979296.0
6300590.854974968,1976610.0
6255793.896017738,1976302.0
6296531.613195571,1975696.0
6246570.397174221,1974500.0
6266715.138962421,1972744.0
6506427.695033491,1974302.0
6376884.64524023,1976786.0
6350172.041671983,1980736.0
6480675.740849782,1981312.0
6429953.014661563,1981206.0
6337763.630900561,1983214.0
6423433.462040049,1979504.0
6351887.806084971,1979482.0
6343818.855458443,1978260.0
6427941.015322834,1977760.0
6323456.400867961,1979508.0
6286266.919426337,1979024.0
6739746.994201778,1980892.0
6509520.777998664,1984466.0
6491309.483911472,1988862.0
6476198.405469737,1991390.0
6500708.618908398,1990916.0
6411876.781236519,1993330.0
6517233.754401035,1997064.0
6459229.653563524,1993530.0
6451264.168251483,1993088.0
6461241.623610066,1992526.0
6516737.035825344,1988184.0
6480590.246692689,1987300.0
6740006.385108489,1991912.0
6597404.71089068,1996444.0
6542146.514825768,1996716.0
6554431.177513477,1994252.0
6622620.3978233365,1994110.0
6482114.708328382,1994732.0
6602330.732079097,1992758.0
6486105.300619013,1989462.0
6436084.504874839,1990336.0
6530953.378000053,1989492.0
6494210.311215315,1987252.0
6428995.383767277,1994266.0
6604805.936074942,1997174.0
6642227.752474133,2002716.0
6583042.140228384,2004918.0
6536097.403799772,2005194.0
6502777.312426248,2007846.0
6467706.111699165,2007726.0
6718138.996565672,2008134.0
6694758.253321052,2005318.0
6556148.214950019,2003712.0
6550879.048685845,2001920.0
6614279.186649249,2000240.0
6543866.901218584,2003770.0
6859078.329043668,2006278.0
6702269.058272,2013000.0
6738071.0337439785,2011578.0
6669325.6868747,2012562.0
6599519.024821146,2013170.0
6541085.290746862,2008024.0
6608338.1537195565,2011032.0
6474881.234904771,2012006.0
6455756.01225403,2012312.0
6491495.011431584,2013192.0
6505012.651311464,2009962.0
6599123.744719537,2009176.0
6761180.268829969,2010730.0
6625756.194717322,2013270.0
6572835.547162409,2011988.0
6635225.9963846635,2011450.0
6590585.303595908,2013246.0
6508178.152628523,2017372.0
6600836.700980907,2017392.0
6645830.5540953325,2019244.0
6638045.107077052,2019000.0
6604333.191116171,2019776.0
6479451.07844177,2021460.0
6398385.642840865,2018580.0
6533417.47229141,2017624.0
